,Split,Ridge RMSE,Ridge Runtime,Xgboost RMSE,Xgboost Runtime
1,1,0.122075503,7.432651043,0.118238907,43.45833087
2,2,0.118062167,10.92075205,0.118441232,53.79969096
3,3,0.12284229,7.174040079,0.11708455,58.17491508
4,4,0.121967522,11.91139889,0.112488774,47.00849199
5,5,0.112855846,8.637755871,0.111954753,43.22899103
6,6,0.132054265,10.23921084,0.128714815,53.51037097
7,7,0.126133742,8.197932005,0.134514693,59.11187911
8,8,0.12147159,7.992703915,0.129367566,43.9148519
9,9,0.129547222,4.975697041,0.13065158,39.23618317
10,10,0.123588276,8.409538031,0.121917233,36.87486506
